query_id,total_relevant,P@10_VSM,R@10_VSM,AP_VSM,NDCG@10_VSM,RR_VSM,P@10_BM25,R@10_BM25,AP_BM25,NDCG@10_BM25,RR_BM25,AP_Diff (BM25 - VSM)
114,4,0.1,0.25,0.10460164835164834,0.2908858019322103,0.25,0.1,0.25,0.08683198199281958,0.2908858019322103,0.25,-0.017769666358828762
115,4,0.0,0.0,0.01268738004389577,0.0,0.03333333333333333,0.1,0.25,0.04907600544721669,0.1868146984506816,0.16666666666666666,0.036388625403320926
116,5,0.1,0.2,0.0769010245264519,0.0747321906848751,0.3333333333333333,0.1,0.2,0.061977573447922096,0.064370805322893,0.25,-0.014923451078529798
117,2,0.0,0.0,0.03684922244759973,0.0,0.034482758620689655,0.0,0.0,0.03666666666666667,0.0,0.03333333333333333,-0.00018255578093306218
118,3,0.1,0.3333333333333333,0.22016806722689075,0.42495889834839423,0.5,0.2,0.6666666666666666,0.22454068241469816,0.4017491573701339,0.25,0.004372615187807405
119,1,0.1,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.0
120,9,0.5,0.5555555555555556,0.48397758309857153,0.5742211285900285,0.5,0.4,0.4444444444444444,0.4304207960203618,0.449711473461381,0.5,-0.05355678707820971
121,7,0.3,0.42857142857142855,0.5167073667073667,0.4038305289814455,1.0,0.4,0.5714285714285714,0.5260116694899304,0.4658554609527688,0.5,0.009304302782563667
122,9,0.4,0.4444444444444444,0.244215691555947,0.15767083962926853,0.25,0.5,0.5555555555555556,0.336501553106039,0.21219468323196292,0.3333333333333333,0.09228586155009202
123,2,0.1,0.5,0.16346153846153846,0.3390090350877799,0.25,0.0,0.0,0.10795454545454546,0.0,0.09090909090909091,-0.05550699300699301
124,4,0.0,0.0,0.004890008524903517,0.0,0.007575757575757576,0.0,0.0,0.00463747095948232,0.0,0.007462686567164179,-0.00025253756542119657
125,17,0.3,0.17647058823529413,0.2907659744723641,0.31568829163856127,1.0,0.3,0.17647058823529413,0.23822002279109167,0.2988422537363188,0.5,-0.05254595168127241
126,8,0.2,0.25,0.16581166393245528,0.4306168300504756,0.5,0.2,0.25,0.22240541631138908,0.571145328024037,1.0,0.0565937523789338
127,5,0.1,0.2,0.1786823425022183,0.13781739283713698,0.5,0.1,0.2,0.11846618633644339,0.09407500605853816,0.25,-0.0602161561657749
128,2,0.0,0.0,0.02061599602583209,0.0,0.030303030303030304,0.0,0.0,0.016608391608391608,0.0,0.02564102564102564,-0.004007604417440483
129,7,0.3,0.42857142857142855,0.2924374547420167,0.3907535418407065,0.5,0.4,0.5714285714285714,0.38528639525985836,0.5211872745568426,0.5,0.09284894051784165
130,5,0.4,0.8,0.42440087145969485,0.5733191485592743,0.5,0.3,0.6,0.45121159328476407,0.5419171693911814,1.0,0.026810721825069217
131,8,0.3,0.375,0.2921717171717172,0.20625455298700224,0.16666666666666666,0.3,0.375,0.30850018037518034,0.12222012918803267,0.16666666666666666,0.01632846320346315
132,15,0.8,0.5333333333333333,0.66804322991823,0.5177864072925873,0.5,0.8,0.5333333333333333,0.7137399637399638,0.3306647042664009,1.0,0.04569673382173389
133,7,0.2,0.2857142857142857,0.20397129186602875,0.24092835642398416,0.2,0.3,0.42857142857142855,0.3378114882316563,0.2690851977536719,0.3333333333333333,0.13384019636562755
134,2,0.1,0.5,0.18382352941176472,0.14528958646619142,0.25,0.1,0.5,0.27325581395348836,0.2128453970090281,0.5,0.08943228454172364
135,8,0.3,0.375,0.5987398018648018,0.11869184087894293,1.0,0.5,0.625,0.7219020562770562,0.1548296130363452,1.0,0.12316225441225437
136,3,0.1,0.3333333333333333,0.1626984126984127,0.46494530163950826,0.3333333333333333,0.2,0.6666666666666666,0.45982142857142855,0.9505548389074392,1.0,0.2971230158730158
137,4,0.2,0.5,0.24107142857142858,0.1915668798157464,0.25,0.2,0.5,0.23440934065934066,0.24756817172970383,0.5,-0.006662087912087916
138,2,0.1,0.5,0.11490683229813664,0.20438239758848611,0.14285714285714285,0.1,0.5,0.1527777777777778,0.2640681225725909,0.25,0.03787094547964115
139,4,0.0,0.0,0.008845006352873025,0.0,0.015873015873015872,0.0,0.0,0.01061825816633569,0.0,0.011764705882352941,0.0017732518134626653
140,6,0.1,0.16666666666666666,0.08662029165511059,0.14917128830097404,0.125,0.2,0.3333333333333333,0.18425645791693754,0.46677934694662554,0.5,0.09763616626182695
141,6,0.2,0.3333333333333333,0.15127756055175412,0.15728173086363278,0.25,0.2,0.3333333333333333,0.1404266697515643,0.21211669707756411,0.2,-0.010850890800189833
142,1,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.03344481605351171
143,2,0.2,1.0,0.5,0.6509209298071325,0.5,0.2,1.0,0.6666666666666666,0.8315546295836225,1.0,0.16666666666666663
144,6,0.5,0.8333333333333334,0.7159090909090908,0.8066975967128548,1.0,0.4,0.6666666666666666,0.38089225589225584,0.44973943366682134,0.3333333333333333,-0.335016835016835
145,7,0.5,0.7142857142857143,0.5829305117371758,0.7334869880487584,1.0,0.4,0.5714285714285714,0.2640563801278087,0.44409141298898125,0.3333333333333333,-0.3188741316093671
146,2,0.2,1.0,0.5833333333333333,0.5560235859070419,0.5,0.2,1.0,0.5833333333333333,0.5560235859070419,0.5,0.0
147,10,0.2,0.2,0.2381005225439337,0.22918388965748276,0.5,0.4,0.4,0.2728527350445199,0.43099008451345455,0.5,0.03475221250058619
148,6,0.3,0.5,0.446547362202702,0.6705224014591489,1.0,0.2,0.3333333333333333,0.23677113808486352,0.42936486522304446,0.5,-0.2097762241178385
149,11,0.4,0.36363636363636365,0.3574636797545969,0.45449827622138,1.0,0.4,0.36363636363636365,0.36569470834176715,0.4422195942380129,1.0,0.00823102858717023
150,2,0.2,1.0,0.5833333333333333,0.6934264036172708,0.5,0.2,1.0,0.8333333333333333,0.9197207891481876,1.0,0.25
151,5,0.1,0.2,0.0590869303180601,0.021918535797549137,0.1111111111111111,0.0,0.0,0.031667742346016596,0.0,0.043478260869565216,-0.027419187972043506
152,6,0.1,0.16666666666666666,0.040327152231802575,0.2045117140099462,0.1,0.0,0.0,0.021406183146357113,0.0,0.043478260869565216,-0.018920969085445462
153,7,0.3,0.42857142857142855,0.2789693264217669,0.3172668330170903,0.5,0.3,0.42857142857142855,0.31675127221909066,0.2923803504426916,0.5,0.037781945797323746
154,2,0.2,1.0,0.5833333333333333,0.606422698504514,0.5,0.2,1.0,0.8333333333333333,0.7309292742059024,1.0,0.25
155,6,0.3,0.5,0.3536096397934643,0.21074543103872143,1.0,0.2,0.3333333333333333,0.15958941125121004,0.09246748944696441,0.5,-0.19402022854225429
156,14,0.7,0.5,0.5691567706806798,0.41704298998546957,1.0,0.7,0.5,0.5078577818300414,0.33216019870956076,1.0,-0.06129898885063845
157,39,0.7,0.1794871794871795,0.4410248463290321,0.5029238078416615,1.0,0.4,0.10256410256410256,0.3536511347608549,0.43079567426796506,1.0,-0.08737371156817719
158,8,0.2,0.25,0.28031310833993744,0.5757150178775998,1.0,0.3,0.375,0.3917937436069186,0.7598351620567733,1.0,0.11148063526698115
159,8,0.2,0.25,0.10038683989848503,0.1693741538935402,0.3333333333333333,0.2,0.25,0.08282010627784928,0.1383713423295765,0.2,-0.017566733620635752
160,5,0.1,0.2,0.04482141190946428,0.12524966424266723,0.1111111111111111,0.1,0.2,0.12055130549391013,0.2625111813898523,0.5,0.07572989358444585
161,6,0.3,0.5,0.5143217893217893,0.6914912669026401,1.0,0.3,0.5,0.5346846846846847,0.7970056658813897,1.0,0.020362895362895372
162,8,0.1,0.125,0.17610214540361602,0.09691295243472908,0.5,0.2,0.25,0.2563718473626595,0.11833582019363606,0.5,0.08026970195904348
163,3,0.2,0.6666666666666666,0.28362573099415206,0.4367467095119259,0.3333333333333333,0.2,0.6666666666666666,0.2981859410430839,0.4367467095119259,0.3333333333333333,0.014560210048931821
164,8,0.4,0.5,0.42155026990553307,0.5008364395440653,0.5,0.4,0.5,0.43604129347663834,0.6566398770962564,1.0,0.014491023571105266
165,2,0.2,1.0,0.39285714285714285,0.5912352048230277,0.5,0.2,1.0,0.5833333333333333,0.6934264036172708,0.5,0.1904761904761904
166,8,0.0,0.0,0.021371548145597326,0.0,0.022727272727272728,0.1,0.125,0.04023133196496971,0.07311683844390994,0.1,0.018859783819372384
